9.9175 	INFO 	Loaded monitor calibration from ['2026_03_20 09:58']
10.3313 	INFO 	Using renderer 'NVIDIA GeForce RTX 4060 Laptop GPU/PCIe/SSE2' for graphics
10.3314 	INFO 	OpenGL version supported by driver is 4..
10.3789 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000292A276EDD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000292A276ED70>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000292A496B5E0>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(0.0), np.float64(0.0)], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.3790 	EXP 	window1: backgroundImage = ''
10.3790 	EXP 	window1: backgroundFit = 'none'
11.0240 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
11.0240 	EXP 	window1: recordFrameIntervals = False
11.2017 	EXP 	window1: recordFrameIntervals = True
11.8994 	EXP 	window1: recordFrameIntervals = False
11.8994 	EXP 	Screen (0) actual frame rate measured at 142.85Hz
14.9441 	INFO 	keyboard.Keyboard is using iohub backend.
14.9442 	EXP 	categorizacion_emocional: status = STARTED
15.1300 	EXP 	Created instructioness_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.04), italic=False, languageStyle='LTR', name='instructioness_txt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
